post_date,publish_time,post_url,impressions,engagements,engagement_rate_pct,format,script_file,brand,campaign,hook_style,topic_tag,cta_keyword,reactions,comments,reposts,saves,notes
4/6/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7446764410553004032,762,,,,,,,,,,,,,,
4/7/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447249496469770241,,6,,,,,,,,,,,,,
4/8/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447607350611570688,,6,,,,,,,,,,,,,
4/8/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447489757665910784,,5,,,,,,,,,,,,,
4/9/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447967936692293632,,5,,,,,,,,,,,,,
4/9/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447850628229320704,2190,41,1.87,carousel-pdf (multi-slide),not-in-repo,unknown (carousel PDF; env cannot render/parse to confirm light vs dark),standalone (Claude product edu),B/myth-bust (caption 'Most people install Claude and use it like Google. That is not why it exists'),"CLAUDE PRODUCT EDU (5 products + prompts) - NON-routing, breaks confound",none (pure save CTA 'Save this. You will use 3 this week'),13,5,3,19,"=4/9 (requested). FIRST CAROUSEL/PDF + FIRST non-routing topic. HIGHEST save rate of all 9 (0.87%=19/2190) -> supports carousel+copy-paste-prompts+'Save this' for SAVES. Low comments(5): no keyword CTA, pure save focus. mid reach(2190). social_eng=42, sends=2, reached=1229, followers_gained=9"
4/11/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7448618366707253248,478,12,2.51,,,,,,,,,,,,
4/13/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7449449296455892992,652,13,1.99,,,,,,,,,,,,
4/14/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7449670396053954560,460,5,1.09,,,,,,,,,,,,
4/15/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7450143467898531840,477,11,2.31,,,,,,,,,,,,
4/16/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7450500560035770368,470,9,1.91,,,,,,,,,,,,
4/18/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7451226802225758208,618,14,2.27,,,,,,,,,,,,
4/20/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7451957540734611456,,13,,,,,,,,,,,,,
4/21/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7452326003999223809,458,6,1.31,,,,,,,,,,,,
4/21/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7452201082715369472,635,15,2.36,,,,,,,,,,,,
4/22/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7452564567026507776,486,10,2.06,,,,,,,,,,,,
4/22/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7452685535795482624,589,12,2.04,,,,,,,,,,,,
4/23/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7452928182560890880,445,8,1.8,,,,,,,,,,,,
4/23/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7453062849104527360,760,6,0.79,,,,,,,,,,,,
4/24/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7453408525072125952,6088,56,0.92,image,not-in-repo,legacy,standalone,D (visual); B (caption),TOOL AUDIT (model comparison),none (comment-bait),33,19,2,1,social_eng=55; sends=0; profile_viewers=11; followers_gained=4; reached=3243; CTA 'Leave your task in comments' (NO save prompt) -> only 1 save vs #1's 40; matrix/verdict format; caption does NOT start with 'I'
4/27/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7454390800521543680,3827,59,1.54,image,not-in-repo,legacy,standalone,A (visual 'I sourced $127K'); B (caption),TOOL AUDIT (GTM model routing),none (dual: 'Save this routing map' + 'drop bottleneck in comments'),18,13,3,25,social_eng=60; sends=1; profile_viewers=16; followers_gained=7; reached=1915; SAME matrix format as #2 but EXPLICIT 'Save this routing map' + reusable-reference framing -> 25 saves vs #2's 1; visual hook starts with 'I'+stat (config violations) yet top-5
4/28/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7454847770227572736,937,11,1.17,,,,,,,,,,,,
4/29/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7455120922102992896,11619,106,0.91,image,"not-in-repo (drafts: script-27-v2, script-30)",legacy,standalone,A,TOOL AUDIT (model routing),BLUEPRINT,33,23,1,40,social_eng=100 (export=106); sends=3; profile_viewers=32; followers_gained=18; reached=6805; CTA says 'Save this' -> 40 saves; visual+caption hook both Operator-Confession starting with 'I'
4/30/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7455579111617441792,750,13,1.73,,,,,,,,,,,,
5/1/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7455844742317309952,673,,,,,,,,,,,,,,
5/4/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7456927325297840128,1149,29,2.53,image,not-in-repo,"legacy/dark (tagged REALNUMBERS_CAMPAIGN but dark terminal aesthetic, NOT light cream)",realnumbers (campaign 01),"A (visual 'I cancelled $7,200/mo'); observational (caption 'Most founders...')",GTM TRUTH / model routing (agent replacement) - STILL routing family,STACK,8,10,1,5,"=5/4 (requested). STILL model-routing topic -> does NOT break the confound. LOW reach (1149) vs #1 same-formula (11619) -> reach is HIGH-VARIANCE within the playbook. dual CTA 'Save this. Comment STACK' -> 5 saves + 10 comments. save rate 0.44%, comment rate 0.87%. social_eng=25, sends=1, reached=400, followers_gained=0"
5/5/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7457291990456614913,2308,34,1.47,image,not-in-repo,legacy/dark,standalone,A (visual 'I almost hired 6 GTM roles'); how-to (caption),TOOL AUDIT / GTM model routing (6 roles) - STILL routing,ROUTE,14,7,1,11,"=5/5 (requested). STILL routing topic (9th routing of 10 analyzed). 'I+number' hook again. save rate 0.48% ('Save this'+reference). dual CTA 'Save this'+'Comment ROUTE'. mid reach 2308. social_eng=33, sends=0, reached=1167, followers_gained=3"
5/6/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7457659174223708160,507,11,2.17,,,,,,,,,,,,
5/7/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7458033769917243392,893,21,2.36,image,not-in-repo,legacy/dark,standalone,"cost-contrast stat (visual '$50,000 vs $2', starts 'The'); fragment+confession (caption)",TOOL AUDIT / multi-agent decision routing (STILL routing family),BOARD,9,5,0,5,"=5/7 (requested). STILL multi-model routing topic. LOW reach (893) -> confirms reach high-variance within same formula (893..11619). save rate 0.56% ('Save this'+reference dense). dual CTA 'Save this. Leave BOARD'. social_eng=19, sends=0, reached=324, followers_gained=1"
5/8/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7458380399585587200,473,8,1.69,,,,,,,,,,,,
5/11/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7459467501484216320,,8,,,,,,,,,,,,,
5/12/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7459821184608686080,4432,78,1.76,image,not-in-repo (related: script-47-v1/v2),legacy,standalone,transformation/how-to (visual); D (caption),GTM TRUTH (team->prompts cost),GTM,23,29,0,26,social_eng=79; sends=1; profile_viewers=13; followers_gained=9; reached=2411; HIGH saves(26) WITHOUT 'save this' ask -> dense implementable reference content (12-prompt system + 25-min timeline); caption uses EMOJI (config forbids) yet performed; CTA 'Comment GTM' keyword lead-magnet -> 29 comments (highest)
5/14/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7460552289057947648,431,17,3.94,,,,,,,,,,,,
5/15/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7461007765537345536,,12,,,,,,,,,,,,,
5/18/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7462003799428231168,441,15,3.4,,,,,,,,,,,,
5/19/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7462366335780495360,,7,,,,,,,,,,,,,
5/21/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7463090229822873601,2468,64,2.59,image,script-24-linkedin-v3.html (IN REPO + .png),realnumbers (light editorial; legacy fonts Fraunces/Inter/JetBrains @1450),"series1 (posted, do-not-redesign)","A (visual 'I gave Claude 12,400 accounts. It picked 847'); A (caption)",REAL NUMBERS (outbound territory: ICP+intent+timing),TERRITORY,14,34,0,14,"RESONANCE WINNER (2.59% ER; HIGHEST comments=34 of all 6). ONLY on-config post: REALNUMBERS brand + EXACT config CTA ('Follow for one AI outbound system every day. Comment TERRITORY ... exact Claude workflow') + posted Series-1 script IN REPO. save rate 0.57% from dense reference (no 'save this' ask). lowest reach (2468). hook=operator-confession+numbers. social_eng=64, sends=2, reached=1484"
5/22/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7463465161375318016,,15,,,,,,,,,,,,,
5/26/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7464896133564178432,,9,,,,,,,,,,,,,
5/27/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7465297074146926592,,9,,,,,,,,,,,,,
5/28/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7465631546662801408,,7,,,,,,,,,,,,,
5/29/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7466083451880935424,613,12,1.96,,,,,,,,,,,,
